NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-19;2021-09-25;No;60.03;0.939358;63.9053;28.6637;2218;1577.9133;77140;44959;2.2550;212;30;30;1124;1094;1227;1091;63689;39104;31231;46462
CATALUNYA;GLOBAL;2021-09-19;2021-09-25;--;;;0.0000;0.0000;84;0.0000;8164;11;0.5057;12;7;0;46;38;40;1;8097;10;622;589
CATALUNYA;GLOBAL;2021-09-19;2021-09-25;Si;;;170.8817;46.9924;33;6597.4595;4028;605;1.2337;27;1;5;29;4;32;4;2512;406;96;161
CATALUNYA;GLOBAL;2021-09-18;2021-09-24;No;58.7173;0.909618;64.5515;28.8058;2229;1575.1736;77877;44010;2.2589;216;28;33;1129;1100;1232;1084;64292;38236;32081;47673
CATALUNYA;GLOBAL;2021-09-18;2021-09-24;--;;;0.0000;0.0000;90;0.0000;8223;10;0.5883;16;7;0;53;37;47;1;8150;9;627;596
CATALUNYA;GLOBAL;2021-09-18;2021-09-24;Si;;;175.1537;49.8405;35;6597.4595;4033;600;1.3005;30;1;4;31;4;34;4;2518;404;98;163
CATALUNYA;GLOBAL;2021-09-17;2021-09-23;--;;;0.0000;0.0000;96;0.0000;8467;9;0.6308;13;5;0;56;40;52;1;8394;8;721;635
CATALUNYA;GLOBAL;2021-09-17;2021-09-23;Si;;;169.4577;71.2007;50;7111.5288;4441;553;1.6843;42;1;7;45;5;49;5;2819;387;94;150
CATALUNYA;GLOBAL;2021-09-17;2021-09-23;No;57.5149;0.86384;66.5804;28.7671;2226;1611.2682;81089;43591;2.2151;224;31;29;1147;1079;1262;1059;66971;37809;37251;49369
CATALUNYA;GLOBAL;2021-09-16;2021-09-22;No;58.9692;0.854982;68.9712;29.8526;2310;1599.3142;82663;41092;2.2898;240;35;29;1215;1095;1297;1080;68181;35629;39187;49381
CATALUNYA;GLOBAL;2021-09-16;2021-09-22;--;;;0.0000;0.0000;106;0.0000;8519;9;0.6983;14;4;0;64;42;58;1;8442;7;722;656
CATALUNYA;GLOBAL;2021-09-16;2021-09-22;Si;;;169.4577;88.2889;62;7948.8493;5070;512;1.8081;38;1;11;55;7;58;7;3225;370;83;118
CATALUNYA;GLOBAL;2021-09-15;2021-09-21;--;;;0.0000;0.0000;106;0.0000;8497;8;0.6649;19;43;0;60;46;55;1;8415;7;784;691
CATALUNYA;GLOBAL;2021-09-15;2021-09-21;Si;;;190.8179;105.3770;74;8286.3408;5286;533;2.0234;39;1;10;63;11;65;11;3380;376;74;97
