NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR;PCR;PERC_PCR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
ALT CAMP;01;2020-09-22;2020-09-28;Si;;;0.0000;0;1192.8429;6;0.0000;0;0;0
ALT CAMP;01;2020-09-22;2020-09-28;No;20.6327;0.282313;9.1355;4;938.6776;411;0.9901;0;0;0
ALT CAMP;01;2020-09-21;2020-09-27;Si;;;0.0000;0;1192.8429;6;0.0000;0;0;0
ALT CAMP;01;2020-09-21;2020-09-27;No;27.127;0.329932;18.2710;8;899.8515;394;1.7903;0;0;0
ALT CAMP;01;2020-09-20;2020-09-26;No;35.8897;0.436508;22.8388;10;897.5676;393;2.3077;0;0;0
ALT CAMP;01;2020-09-20;2020-09-26;Si;;;0.0000;0;1192.8429;6;0.0000;0;0;0
ALT CAMP;01;2020-09-19;2020-09-25;Si;;;0.0000;0;1192.8429;6;0.0000;0;0;0
ALT CAMP;01;2020-09-19;2020-09-25;No;52.4957;0.604875;25.1227;11;922.6904;404;2.4938;0;0;0
ALT CAMP;01;2020-09-18;2020-09-24;Si;;;0.0000;0;8548.7077;43;0.0000;0;0;0
ALT CAMP;01;2020-09-18;2020-09-24;No;106.947;1.26559;34.2583;15;1057.4397;463;3.1111;0;0;0
ALT CAMP;01;2020-09-17;2020-09-23;Si;;;0.0000;0;8946.3220;45;0.0000;1;0;0
ALT CAMP;01;2020-09-17;2020-09-23;No;145.843;1.4513;41.1099;18;1077.9947;472;4.1667;1;0;0
ALT CAMP;01;2020-09-16;2020-09-22;Si;;;0.0000;0;8548.7077;43;0.0000;1;0;0
ALT CAMP;01;2020-09-16;2020-09-22;No;168.675;1.60552;54.8132;24;1055.1558;462;5.8427;1;0;0
ALT CAMP;01;2020-09-15;2020-09-21;No;207.939;1.5973;63.9488;28;972.9359;426;7.2993;1;0;0
ALT CAMP;01;2020-09-15;2020-09-21;Si;;;0.0000;0;8747.5149;44;0.0000;1;0;0
ALT CAMP;01;2020-09-14;2020-09-20;Si;;;198.8071;1;28230.6163;142;0.8621;1;0;0
ALT CAMP;01;2020-09-14;2020-09-20;No;218.637;1.56935;63.9488;28;970.6520;425;6.8796;1;0;0
ALT CAMP;01;2020-09-13;2020-09-19;Si;;;198.8071;1;28230.6163;142;0.8621;1;0;0
ALT CAMP;01;2020-09-13;2020-09-19;No;196.283;1.45665;59.3810;26;966.0842;423;6.4198;1;0;0
ALT CAMP;01;2020-09-12;2020-09-18;Si;;;198.8071;1;28230.6163;142;0.8621;1;0;0
ALT CAMP;01;2020-09-12;2020-09-18;No;211.127;1.3206;61.6649;27;943.2454;413;7.6142;1;0;0
ALT CAMP;01;2020-09-11;2020-09-17;No;110.433;0.711073;50.2455;22;737.6955;323;8.9172;1;0;0
